/data/Automation/main/tests/unit_tests/3dworkbench
['./dsn/test', '0:00:06', 'PASSED']
['./cadvance/yvs-90-00031_bug8776', '0:00:15', 'PASSED']
['./ipc2581/nf2017ISR7_IPC2581_default_options', '0:01:03', 'PASSED']
['./pads/TCC8002_TEM_CELL_V1_4_3', '0:00:52', 'PASSED']
['./gds/CCMPR02575067_ICT_temp_25deg', '0:02:37', 'PASSED']
['./gds/2177499_multi_segments_shape_via_cut', '0:00:28', 'PASSED']
['./gds/2178903_leverage_layermap_Case2', '0:00:05', 'PASSED']
['./gds/02107592_Innotech_Gds_No_Net_InTechFile', '0:00:05', 'PASSED']
['./gds/CCMPR02245337_geometries_error', '0:00:07', 'PASSED']
['./gds/FromLog2', '0:00:27', 'PASSED']
['./gds/RectVia_wo_offset', '0:00:52', 'PASSED']
['./gds/02204564_shape_disconnection_steps', '0:00:07', 'PASSED']
['./gds/CCMPR02588721_disable_ThermalTF_property', '0:00:04', 'PASSED']
['./gds/02272950_FailedReadEncryptedICT', '0:00:18', 'PASSED']
['./gds/FlipX_log', '0:00:09', 'PASSED']
['./cr5k/1038310460_v04', '0:01:24', 'PASSED']
['./brd/2607790_diestack', '0:00:06', 'PASSED']
['./brd/FC_BGA_bothdefine_mcm_bydesign', '0:00:22', 'PASSED']
['./brd/demo_ver_15p5p1', '0:00:16', 'PASSED']
['./brd/trans_part_nets', '0:00:12', 'PASSED']
['./ndd/design_v612', '0:00:19', 'PASSED']
/data/Automation/main/tests/unit_tests/s2k
['./Taper_3_multi', '0:00:22', 'PASSED']
['./trace_teardrop_for_circle_pad_with_via', '0:00:20', 'PASSED']
['./c1_5510', '0:01:55', 'PASSED']
['./Back_drill_from_top_bottom_L3', '0:00:25', 'PASSED']
['./AE_CCMPR02064668_wrong_se_imp', '0:04:24', 'PASSED']
['./Back_drill_from_top_bottom_L1', '0:00:00', 'PASSED']
['./ESD_chip_modeltest', '0:00:14', 'PASSED']
['./TDR_01075921', '0:00:37', 'PASSED']
['./7_Diff_2100_L2_Y_M', '0:03:12', 'PASSED']
['./10_twopassive_1_20_EN_Z', '0:13:06', 'PASSED']
['./tabbed_trace_CCR01638497', '0:00:33', 'PASSED']
/data/Automation/main/tests/unit_tests/t2b
['./ccr01403544_outputdiff_with_spectre', '0:00:53', 'PASSED']
['./ccr01959017_inputdelay', '0:02:28', 'PASSED']
['./speedup_C_comp_extraction_spectre', '0:00:19', 'PASSED']
['./ccr01695171_NXP_output_raw_file', '0:00:07', 'PASSED']
['./ccr01740793_io_open_drain', '0:06:24', 'PASSED']
['./01983377_comp_biasing', '0:00:32', 'PASSED']
['./t2b_example_spectre', '0:00:39', 'PASSED']
['./t2b_c_comp_specified_dc', '0:00:33', 'PASSED']
/data/Automation/main/tests/unit_tests/pwt
['./Extraction_setup/Starting_component_settings/add_start_comp/sensePosNeg', '0:00:10', 'PASSED']
['./InitialSetup/ComponentTypeIdentify/capacitor', '0:00:09', 'PASSED']
['./dcdc_component', '0:00:06', 'PASSED']
['./parser/from_packaged/1947421_DoubleQuotationInProperty', '0:00:07', 'PASSED']
['./parser/from_netlist/nokia_CCR01714946', '0:00:07', 'PASSED']
['./parser/from_netlist/nokia_1787803', '0:00:07', 'PASSED']
['./parser/from_netlist/1924567_DoubleQuotationInProperty', '0:00:08', 'PASSED']
/data/Automation/main/tests/unit_tests/bbs
['./PSD_LNA_gate_Ind_source_degen_Lcm_8', '0:00:07', 'PASSED']
['./rtxd_24_amp2_FromLO_ADS1', '0:00:16', 'PASSED']
['./lineNocausalEnforcement', '0:00:06', 'PASSED']
['./ForBBS.8.1.9TEST_grid-spara-vccpq', '0:03:38', 'PASSED']
['./PC2-6400_SODIMM_x16_1_die_PSI_031709_183757', '0:14:11', 'PASSED']
['./ind_1p0_1p7_network3_deem', '0:00:05', 'PASSED']
['./app1_drv', '0:01:54', 'PASSED']
/data/Automation/main/tests/unit_tests/spdsim
/data/Automation/main/tests/unit_tests/fdtd
['./patch_antenna_waveport', '0:01:11', 'PASSED']
['./three_traces', '0:02:25', 'PASSED']
['./inverted_F', '0:12:23', 'FAILED']
['./square_loop', '0:00:12', 'PASSED']
['./dipole_antenna', '0:00:21', 'PASSED']
['./lowpass_filter', '0:01:00', 'PASSED']
['./wave_guide', '0:02:54', 'PASSED']
['./microstrip_trace', '0:02:17', 'PASSED']
/data/Automation/main/tests/unit_tests/thermal/CFD
['./NegativeHTC', '0:00:28', 'PASSED']
['./Static_NC_pcb_pkg_merge', '0:01:04', 'PASSED']
['./Static_NC_demo', '0:00:46', 'PASSED']
['./3dComp_Static', '0:00:28', 'PASSED']
['./3d_component_paraview', '0:00:24', 'PASSED']
['./LocalRefTemperature', '0:00:28', 'PASSED']
/data/Automation/main/tests/unit_tests/thermal/MCAD
['./CelsiusFEMCase_Bi_Beam', '0:00:23', 'PASSED']
['./solid_extraction', '0:00:50', 'PASSED']
['./CreateTransientPower/create_pwl', '0:01:14', 'PASSED']
['./CreateTransientPower/create_transient_PowerMap', '0:00:15', 'PASSED']
['./CreateTransientPower/create_pulse', '0:00:35', 'PASSED']
['./CelsiusFEMCase_plane_stress_symBC', '0:00:17', 'PASSED']
['./terminal_lumped', '0:05:31', 'PASSED']
['./static_thermal', '0:00:28', 'PASSED']
['./plane_strain_dis_bc', '0:00:22', 'PASSED']
['./wire_resistance_etw', '0:01:45', 'PASSED']
['./CelsiusEngineCase', '0:00:14', 'PASSED']
['./viscoBar', '0:02:46', 'PASSED']
['./transient_thermal', '0:00:52', 'PASSED']
['./2R_HTC', '0:01:05', 'PASSED']
['./transient_thermal_atlas', '0:00:34', 'PASSED']
['./CelsiusFEMCase_2R', '0:00:10', 'PASSED']
['./static_electrical', '0:00:45', 'PASSED']
['./plane_stress_stress_bc', '0:00:27', 'PASSED']
['./impt_expt_powerMap', '0:00:44', 'PASSED']
/data/Automation/main/tests/unit_tests/Optimality
['./ai_simulation_3dlayout_one_trace_smaller', '0:02:55', 'PASSED']
['./ai_optimality_test_fake_case_from_suomin', '0:01:36', 'PASSED']
['./optimality_TDR_one_trace', '0:03:08', 'PASSED']
['./ai_simulation_hsso_usb_drillSize', '0:05:08', 'PASSED']
['./optimality_antenna_Far_Field_test', '0:04:53', 'PASSED']
['./optimality_customer_function_workbench', '0:02:09', 'PASSED']
