/data/Automation/main/tests/unit_tests/3dworkbench
['./arista_VerticalPorts_12', '0:00:04', 'PASSED']
['./ccr02763747_xReg_Test_12_IPC', '0:00:41', 'PASSED']
['./xReg_Test_76', '0:00:56', 'PASSED']
['./test_TBUP_1A_wo_dp', '0:00:37', 'PASSED']
['./enable_alias_short_pkg_top_brd_1st_spd', '0:02:40', 'PASSED']
['./np_microstrip_squareaddtri_w0.50A', '0:00:24', 'PASSED']
['./psi_brd_IR_drop_SM_LogLinear', '0:00:08', 'PASSED']
['./ccr02751900_top_cap_floating_plane', '0:02:25', 'PASSED']
['./update_max_cpu', '0:00:06', 'PASSED']
/data/Automation/main/tests/unit_tests/pdc/splitted/part1
['./PDC_E_T_tcl', '0:01:24', 'PASSED']
['./4DIMM', '0:01:37', 'PASSED']
['./3D_via_mesh_MB', '0:00:32', 'PASSED']
['./2diesidebyside_wbwb_mcp', '0:00:42', 'PASSED']
['./CCMPR01490382_DE144543', '0:00:29', 'PASSED']
['./CCMPR1246225_multi-board_analysis', '0:01:14', 'PASSED']
['./Multi_Board', '0:01:23', 'PASSED']
['./DCDC_demo', '0:03:11', 'PASSED']
['./Resistance_Measurement', '0:00:47', 'PASSED']
['./3D_via_neg_shape_separate', '0:00:26', 'PASSED']
['./NoDC_R', '0:00:08', 'PASSED']
['./CCMPR01450167_co_sim_sweep', '0:00:09', 'PASSED']
['./LEDAtest1', '0:00:22', 'PASSED']
['./CCMPR02119000_loop_error', '0:04:10', 'PASSED']
/data/Automation/main/tests/unit_tests/pdc/splitted/part2
['./Resistance_Network_Model', '0:00:21', 'PASSED']
['./result_different_to_legacy', '0:02:52', 'PASSED']
['./Single_Board', '0:00:15', 'PASSED']
['./polygon_Cham_Rec', '0:00:07', 'PASSED']
['./pwrdc_pcb_01', '0:01:10', 'PASSED']
['./complicated_circuit_VRM_sim_fail', '0:00:20', 'PASSED']
['./wirebond', '0:00:58', 'PASSED']
['./multiloops_has_sense_line', '0:00:00', 'PASSED']
['./single_board', '0:00:14', 'PASSED']
['./fccsp_delphi', '0:03:25', 'PASSED']
['./flipchip_pkg', '0:00:32', 'PASSED']
['./multi_board_sense2', '0:00:58', 'PASSED']
['./fccsp_pkg', '0:00:33', 'PASSED']
['./joule_component_heatsink', '0:00:47', 'PASSED']
['./alchip', '0:00:40', 'PASSED']
/data/Automation/main/tests/unit_tests/xpi
['./CellAlias', '0:00:18', 'PASSED']
['./2013075_auto_bump_at_gds_top_layer', '0:00:09', 'PASSED']
['./2156633_tsv_level6_EPA_incorrect_redo', '0:01:57', 'PASSED']
['./PartialLumpRefExtComp', '0:03:28', 'PASSED']
['./xpi_match_ionet', '0:00:05', 'PASSED']
['./ExComp_BumpDIE_TSVPKG_BBS', '0:00:34', 'PASSED']
['./NXP_pll_vco', '0:00:10', 'PASSED']
['./ExComp_BumpPKG', '0:02:16', 'PASSED']
['./ON', '0:02:28', 'PASSED']
/data/Automation/main/tests/unit_tests/xim
['./POP_wirebond', '0:00:35', 'PASSED']
['./EPA_workflow/Sample_cases/EPA_PerPinRL_Multi_die_sample1', '0:01:05', 'PASSED']
['./Sample_Lead_WB_KNSstandard', '0:04:46', 'PASSED']
['./Broadband_netbased_Pi-model', '0:01:51', 'PASSED']
['./EPA_FlipChip_XIM_1.0', '0:00:52', 'PASSED']
['./Others/Error_check/CCMPR02686409_error_checking', '0:05:44', 'PASSED']
['./RLC_Reg_001', '0:00:17', 'PASSED']
['./IC_flow/cc02729066_2gnd_case2', '0:00:25', 'PASSED']
['./Running_101_Pinbased', '0:00:42', 'PASSED']
['./tcl_commands/BumpsBalls_setup/Single_Die_multi_bump_sizes_setup_tcl', '0:00:03', 'PASSED']
['./pin-based/Options_include_decap_SPICE/CCMPR02029682_8Terminal_Capacitor', '0:01:40', 'PASSED']
['./Partial_Lead', '0:00:41', 'PASSED']
['./XIM_MultiDie_Sample4_WBFC', '0:00:15', 'PASSED']
['./RLC_Reg_059_PowerDC', '0:00:27', 'PASSED']
['./XIM_2.0/EPA_workflow/Decap_efficiency/CCMPR02431128_bumpsballs_decaps_eff_warning_msg_2.0', '0:01:02', 'PASSED']
['./XIM_2.0/EPA_workflow/EPA_Reg_007_PerPin_Decap', '0:05:09', 'PASSED']
['./XIM_2.0/EPA_workflow/EPA_FlipChip_XIM_2.0', '0:00:51', 'PASSED']
['./XIM_2.0/Pin_based/Sample_Wirebond_Pinbased', '0:00:29', 'PASSED']
['./XIM_2.0/other_feature/2019Base_MCP_Header_tcl/PLOC_reference_floating_pins', '0:00:07', 'PASSED']
['./XIM_2.0/Net_based/RC_SPEF/demo_PinName', '0:00:34', 'PASSED']
/data/Automation/main/tests/unit_tests/opi
['./Intel1', '0:00:31', 'PASSED']
['./opi_sample_cases/Demo_Decap_locations', '0:01:03', 'PASSED']
['./opi_sample_cases/Demo_Pin_Inductance', '0:00:56', 'PASSED']
['./opi_sample_cases/Demo_Pre_Layout', '0:01:24', 'PASSED']
['./opi_sample_cases/Demo_PDN_Verification', '0:02:24', 'PASSED']
['./opi_sample_cases/Demo_Loop_Inductance', '0:00:15', 'PASSED']
['./opi_sample_cases/Device_Optimization', '0:01:13', 'PASSED']
['./CCMPR01815648_apply_powertree', '0:01:53', 'PASSED']
/data/Automation/main/tests/unit_tests/cie
['./Reg_002', '0:00:16', 'PASSED']
['./Reg_001', '0:03:00', 'PASSED']
