/data/Automation/main/tests/unit_tests/3dworkbench
['./arista_VerticalPorts_12', '0:00:04', 'PASSED']
['./arista_VerticalPorts_3', '0:00:07', 'PASSED']
['./arista_VerticalPorts_14', '0:00:10', 'PASSED']
['./arista_VerticalPorts_7', '0:00:07', 'PASSED']
['./DMeshTest_board_test_cut2', '0:01:10', 'PASSED']
/data/Automation/main/tests/unit_tests/trinity/splitted/part1
['./56asym_strip', '0:03:55', 'PASSED']
['./Asus_cut_step7_setting', '0:00:23', 'PASSED']
['./CCMPR02495122_open_spd_crash', '0:00:12', 'PASSED']
['./CCMPR02323184', '0:00:13', 'PASSED']
['./4diff_4port_wp', '0:02:57', 'PASSED']
['./3DEM_QuasiL_sample_pcb', '0:02:08', 'PASSED']
['./ABC_boundary', '0:01:07', 'PASSED']
['./0_metal_Z_location', '0:01:52', 'PASSED']
['./2772972_new_wave_port_xmesh', '0:01:49', 'PASSED']
['./CCMPR02507989_clf_incorrect_deembeding_snp_header_precheckin', '0:01:39', 'PASSED']
['./58Dieblock_matfile', '0:01:23', 'PASSED']
['./2635280_lossymaterial', '0:01:02', 'PASSED']
/data/Automation/main/tests/unit_tests/trinity/splitted/part2
['./initial_mesh_Horn_Coax_feed_RecreateWaveports', '0:06:32', 'PASSED']
['./initial_mesh_Design1_3DComp', '0:01:35', 'PASSED']
['./TempMapping_FiberWeave_Dmesh', '0:04:38', 'PASSED']
['./filldie_sfreq', '0:01:37', 'PASSED']
['./ccr1436198_coatedvia_wrong', '0:02:21', 'PASSED']
['./CLA_Lumped_Both', '0:00:37', 'PASSED']
['./Fill_in_multiple_solution_frequency_crash', '0:00:08', 'PASSED']
['./MTC_overlapcase', '0:05:24', 'PASSED']
['./Mapping_top_bottom', '0:02:37', 'PASSED']
['./force_partition_stop_iter_resume_finalonly', '0:03:04', 'PASSED']
['./Wirebond_KNSstandard_Dmesh', '0:02:55', 'PASSED']
['./Wave3DSettingmeshAlgorithm_SNR', '0:00:03', 'PASSED']
/data/Automation/main/tests/unit_tests/trinity/splitted/part3
['./regr_2587065_trapo_120degree', '0:02:10', 'PASSED']
['./multi_structure', '0:07:22', 'PASSED']
['./one_trace_low_freq_solution_CCMRP02620552', '0:00:42', 'PASSED']
['./oneTrace_PEC_layers', '0:02:55', 'PASSED']
['./magnetic_pwl_discrete_legacy', '0:01:51', 'PASSED']
['./lmesh_thick_vias', '0:01:00', 'PASSED']
['./legacy_antenna', '0:00:04', 'PASSED']
['./regr_diff_via_dmesh_PML', '0:01:56', 'PASSED']
['./regr_one_trace_c3d', '0:00:24', 'PASSED']
['./rect-WG-single-mode-propagation-region', '0:00:35', 'PASSED']
['./n79tx_EG5098_FT3_On_Wafer_STEP', '0:00:12', 'PASSED']
['./legacy_antenna_fields', '0:00:05', 'PASSED']
/data/Automation/main/tests/unit_tests/trinity/splitted/part4
['./strip1_3x_mixed', '0:02:06', 'PASSED']
['./wave3d_prepare_three_traces', '0:00:07', 'PASSED']
['./regr_strip_diff_sep_wp_2764484', '0:04:26', 'PASSED']
['./xmesh', '0:03:12', 'PASSED']
['./volumnmesh_failed', '0:02:29', 'PASSED']
['./workbench_AWR_flow_case', '0:01:17', 'PASSED']
['./smodel_0_10GHz_update', '0:02:09', 'PASSED']
['./zero_thickness_rect_WG_4-mode_external_PEC_AFS', '0:01:00', 'PASSED']
['./zero_thickness_rect_WG_4-mode_external_PEC_discrete', '0:00:57', 'PASSED']
['./thick_rect_WG_2-mode_external_DC_thickness_copper', '0:05:22', 'PASSED']
['./rfin_mmic_nom', '0:02:41', 'PASSED']
/data/Automation/main/tests/unit_tests/thermal/ECAD
['./Die_Polygon_Power', '0:00:15', 'PASSED']
['./gds_stacked_die_3dpwrmap', '0:00:09', 'PASSED']
['./Sample4_transient', '0:02:39', 'PASSED']
['./ThermalDB_2DArea_Leakage', '0:00:18', 'PASSED']
['./vtm_with_techfile', '0:00:10', 'PASSED']
['./PCB_crossover_heatsinks', '0:00:10', 'PASSED']
['./single_transient_pwrmap_leakage_pwrmap', '0:00:20', 'PASSED']
['./3DIC_cowosS', '0:00:42', 'PASSED']
['./Sample6_pkg_characterization_2', '0:00:22', 'PASSED']
['./3DIC_singleBlock', '0:00:11', 'PASSED']
['./Sample6_pkg_characterization_1', '0:00:10', 'PASSED']
['./2D_TransientET', '0:01:24', 'PASSED']
['./TransientFile_top', '0:00:14', 'PASSED']
['./TDV_Four_chips', '0:00:11', 'PASSED']
['./PCB_Transient_Files', '0:00:22', 'PASSED']
['./ThermalDB_3DTransient_Leakage', '0:00:07', 'PASSED']
['./Sample4_static', '0:01:32', 'PASSED']
['./hier_merge_test', '0:00:30', 'PASSED']
['./TempDept_HeatSink', '0:00:35', 'PASSED']
['./usb_device', '0:00:18', 'PASSED']
['./vtm_new_format', '0:00:06', 'PASSED']
['./same_power_file_multi_die_2d', '0:00:08', 'PASSED']
['./Extraction_IR_PCB', '0:01:21', 'PASSED']
['./nonuniform_adaptive_timesteps_repeat', '0:00:16', 'PASSED']
['./2d_static_demo_LDFlow', '0:00:08', 'PASSED']
['./2_Stacked_die_test', '0:00:08', 'PASSED']
['./TSV_implementation', '0:00:16', 'PASSED']
['./GDS_transient', '0:00:13', 'PASSED']
['./StaticT_IR_PCB', '0:00:22', 'PASSED']
['./StaticT_pcb_pkg_merge', '0:00:31', 'PASSED']
['./areabased_pwrmap', '0:00:17', 'PASSED']
['./chip_static_TSV_size_diff', '0:00:05', 'PASSED']
['./ThermalDB_2DLeakage_Transient', '0:00:17', 'PASSED']
['./tech_file_test_case', '0:01:54', 'PASSED']
['./stacked_die_transient_new', '0:02:21', 'PASSED']
['./encrypted_powermap', '0:00:09', 'PASSED']
['./ThermalDB_3DHierarchy', '0:00:05', 'PASSED']
['./ExtractionET_demo', '0:00:33', 'PASSED']
['./ThreeDHier', '0:01:37', 'PASSED']
['./Sample5', '0:03:39', 'PASSED']
['./thermal_setup_flow2', '0:00:47', 'PASSED']
['./2d_static_demo_w_multi_heatsink', '0:00:05', 'PASSED']
/data/Automation/main/tests/post_regression/translator
['./cr5k/1038310460_v04', '0:01:03', 'PASSED']
['./cadvance/yvs-90-00031_bug8776', '0:00:19', 'PASSED']
['./2664597_net', '0:00:18', 'PASSED']
['./rif/201test', '0:00:08', 'PASSED']
['./pads/TCC8002_TEM_CELL_V1_4_3', '0:01:19', 'PASSED']
['./ndd/design_v612', '0:00:09', 'PASSED']
['./CCMPR02092626_pad_translation_error', '0:00:43', 'PASSED']
['./odb/CCMPR01480622', '0:00:19', 'PASSED']
['./odb/negative_plane_layer_eci', '0:00:04', 'PASSED']
['./odb/spdif_all_odb', '0:00:06', 'PASSED']
['./brd/trans_part_nets', '0:00:05', 'PASSED']
['./brd/2607790_diestack', '0:00:07', 'PASSED']
['./brd/FC_BGA_bothdefine_mcm_bydesign', '0:00:15', 'PASSED']
['./brd/demo_ver_15p5p1', '0:00:07', 'PASSED']
['./dxf/F1', '0:01:00', 'PASSED']
['./dxf/2749506_case5', '0:00:08', 'PASSED']
['./ipc2581/nf2017ISR7_IPC2581_default_options', '0:01:05', 'PASSED']
['./CCMPR02665240_Lost_Mimcap', '0:00:56', 'PASSED']
['./gds/CCMPR02245337_geometries_error', '0:00:04', 'PASSED']
['./gds/FromLog2', '0:00:21', 'PASSED']
['./gds/2178903_leverage_layermap_Case2', '0:00:05', 'PASSED']
['./gds/2177499_multi_segments_shape_via_cut', '0:00:35', 'PASSED']
['./gds/FlipX_log', '0:00:04', 'PASSED']
['./gds/CCMPR02575067_ICT_temp_25deg', '0:02:35', 'PASSED']
['./gds/RectVia_wo_offset', '0:00:43', 'PASSED']
['./gds/02107592_Innotech_Gds_No_Net_InTechFile', '0:00:04', 'PASSED']
['./gds/02272950_FailedReadEncryptedICT', '0:00:17', 'PASSED']
['./gds/CCMPR02588721_disable_ThermalTF_property', '0:00:04', 'PASSED']
['./gds/02204564_shape_disconnection_steps', '0:00:10', 'PASSED']
['./altium/Connector_Board', '0:00:06', 'PASSED']
['./dsn/test', '0:00:06', 'PASSED']
/data/Automation/main/tests/unit_tests/s2k
['./Taper_3_multi', '0:00:22', 'PASSED']
['./trace_teardrop_for_circle_pad_with_via', '0:00:17', 'PASSED']
['./c1_5510', '0:02:10', 'PASSED']
['./ESD_chip_modeltest', '0:00:15', 'PASSED']
['./7_Diff_2100_L2_Y_M', '0:02:38', 'PASSED']
['./Back_drill_from_top_bottom_L3', '0:00:26', 'PASSED']
['./10_twopassive_1_20_EN_Z', '0:13:08', 'PASSED']
['./TDR_01075921', '0:00:27', 'PASSED']
['./Back_drill_from_top_bottom_L1', '0:00:07', 'PASSED']
['./tabbed_trace_CCR01638497', '0:00:35', 'PASSED']
['./AE_CCMPR02064668_wrong_se_imp', '0:03:23', 'PASSED']
/data/Automation/main/tests/unit_tests/t2b
['./01983377_comp_biasing', '0:00:31', 'PASSED']
['./ccr01740793_io_open_drain', '0:06:40', 'PASSED']
['./speedup_C_comp_extraction_spectre', '0:00:18', 'PASSED']
['./t2b_example_spectre', '0:00:29', 'PASSED']
['./ccr01959017_inputdelay', '0:01:52', 'PASSED']
['./t2b_c_comp_specified_dc', '0:00:31', 'PASSED']
['./ccr01403544_outputdiff_with_spectre', '0:00:50', 'PASSED']
['./ccr01695171_NXP_output_raw_file', '0:00:07', 'PASSED']
/data/Automation/main/tests/unit_tests/pwt
['./parser/from_netlist/nokia_1787803', '0:00:06', 'PASSED']
['./parser/from_netlist/nokia_CCR01714946', '0:00:04', 'PASSED']
['./parser/from_netlist/1924567_DoubleQuotationInProperty', '0:00:05', 'PASSED']
['./parser/from_packaged/1947421_DoubleQuotationInProperty', '0:00:05', 'PASSED']
['./dcdc_component', '0:00:05', 'PASSED']
['./InitialSetup/ComponentTypeIdentify/capacitor', '0:00:11', 'PASSED']
['./Extraction_setup/Starting_component_settings/add_start_comp/sensePosNeg', '0:00:12', 'PASSED']
/data/Automation/main/tests/unit_tests/bbs
['./lineNocausalEnforcement', '0:00:06', 'PASSED']
['./ind_1p0_1p7_network3_deem', '0:00:06', 'PASSED']
['./ForBBS.8.1.9TEST_grid-spara-vccpq', '0:03:54', 'PASSED']
['./PSD_LNA_gate_Ind_source_degen_Lcm_8', '0:00:05', 'PASSED']
['./PC2-6400_SODIMM_x16_1_die_PSI_031709_183757', '0:12:40', 'PASSED']
['./app1_drv', '0:01:51', 'PASSED']
['./rtxd_24_amp2_FromLO_ADS1', '0:00:15', 'PASSED']
/data/Automation/main/tests/unit_tests/spdsim
/data/Automation/main/tests/unit_tests/fdtd
['./patch_antenna_waveport', '0:00:54', 'PASSED']
['./wave_guide', '0:03:13', 'PASSED']
['./square_loop', '0:00:15', 'PASSED']
['./three_traces', '0:02:23', 'PASSED']
['./microstrip_trace', '0:02:28', 'PASSED']
['./dipole_antenna', '0:00:20', 'PASSED']
['./lowpass_filter', '0:01:09', 'PASSED']
/data/Automation/main/tests/unit_tests/thermal/CFD
['./Static_NC_pcb_pkg_merge', '0:00:47', 'PASSED']
['./3dComp_Static', '0:00:34', 'PASSED']
['./NegativeHTC', '0:00:39', 'PASSED']
['./Static_NC_demo', '0:00:57', 'PASSED']
['./3d_component_paraview', '0:00:24', 'PASSED']
['./LocalRefTemperature', '0:00:26', 'PASSED']
/data/Automation/main/tests/unit_tests/thermal/MCAD
['./plane_strain_dis_bc', '0:00:25', 'PASSED']
['./CelsiusStaticStress', '0:00:37', 'PASSED']
['./import_stp', '0:01:23', 'PASSED']
['./2R_HTC', '0:00:45', 'PASSED']
['./CreateTransientPower/create_pwl', '0:00:31', 'PASSED']
['./CreateTransientPower/create_transient_PowerMap', '0:00:11', 'PASSED']
['./CreateTransientPower/create_pulse', '0:00:31', 'PASSED']
['./static_thermal', '0:00:37', 'PASSED']
['./wire_resistance_etw', '0:00:51', 'PASSED']
['./CelsiusFEMCase_plane_stress_symBC', '0:01:03', 'PASSED']
['./transient_thermal_atlas', '0:00:34', 'PASSED']
['./terminal_lumped', '0:00:44', 'PASSED']
['./transient_thermal', '0:00:45', 'PASSED']
['./CelsiusEngineCase', '0:10:40', 'PASSED']
['./viscoBar', '0:01:41', 'PASSED']
['./solid_extraction', '0:00:20', 'PASSED']
['./static_electrical', '0:02:49', 'PASSED']
['./CelsiusFEMCase_Bi_Beam', '0:00:11', 'PASSED']
/data/Automation/main/tests/unit_tests/Optimality
['./optimality_TDR_one_trace', '0:03:40', 'PASSED']
['./optimality_customer_function_workbench', '0:02:21', 'PASSED']
['./optimality_antenna_Far_Field_test', '0:05:07', 'PASSED']
['./ai_optimality_test_fake_case_from_suomin', '0:01:36', 'PASSED']
['./ai_simulation_3dlayout_one_trace_smaller', '0:01:52', 'PASSED']
['./ai_simulation_hsso_usb_drillSize', '0:03:21', 'PASSED']
/data/Automation/main/tests/post_regression/psi/splitted/part1
['./ccr02264431_fillet_issue_in_special_void', '0:01:05', 'PASSED']
['./ccr02690861_500MHz_2p0_wo_dp', '0:12:03', 'PASSED']
['./auto_special_void_stackup', '0:00:29', 'PASSED']
['./CCMPR02316552_warning_update_5um', '0:00:41', 'PASSED']
['./SampleCase_Z-impedance_DP', '0:03:18', 'PASSED']
['./Auto_special_void_17_case1_2p0_wo_dp', '0:01:12', 'PASSED']
['./add_port_by_ploc', '0:00:04', 'PASSED']
['./CCMPR02674960_arc_trace_crash_AFS_wo_dp', '0:01:10', 'PASSED']
['./CCMPR02637102_Impedance_Coupling_Overlay_hang_issue', '0:00:57', 'PASSED']
['./ccr02698361_3coaxial_ports_1enabled', '0:00:06', 'PASSED']
['./CCMPR02448789_crash_issue_PSI_2p0', '0:02:00', 'PASSED']
['./CCMPR02584811_cut_polygon_boundary', '0:00:30', 'PASSED']
['./CCMPR02432389_impedance_issue_w_coplanar_2p0', '0:00:41', 'PASSED']
['./Case2_SODIMM_ERC_1NG', '0:00:15', 'PASSED']
['./CCMPR02417282_merge_PKG_PCB_prefix', '0:00:06', 'PASSED']
['./calculate_oblongpad_wrong', '0:00:13', 'PASSED']
['./ccr01909641_soldermask', '0:00:42', 'PASSED']
['./ccr02622139_001_cpw_DCoption', '0:00:42', 'PASSED']
/data/Automation/main/tests/post_regression/psi/splitted/part2
['./different_size_overlap_hole', '0:00:16', 'PASSED']
['./tabbed_trace_ID1_S_parameters', '0:01:32', 'PASSED']
['./small_case_for_smoke_test', '0:00:34', 'PASSED']
['./ccr1979665_hook_verticalpin', '0:00:04', 'PASSED']
['./demospatial_port_gen', '0:01:14', 'PASSED']
['./dc_fitted_1hz_400mhz_log', '0:00:45', 'PASSED']
['./teardrop_pad1x1.5', '0:00:22', 'PASSED']
['./psi_DCR3_100x1mm_2planes_eigen', '0:00:07', 'PASSED']
['./pseudo_PCB_wo_dp', '0:00:57', 'PASSED']
