/data/Automation/main/tests/unit_tests/3dworkbench
['./arista_VerticalPorts_12', '0:00:00', 'PASSED']
['./Taper_3_multi', '0:00:18', 'PASSED']
['./ESD_chip_modeltest', '0:00:12', 'PASSED']
['./Back_drill_from_top_bottom_L1', '0:00:03', 'PASSED']
['./c1_5510', '0:01:21', 'PASSED']
/data/Automation/main/tests/unit_tests/t2b
['./01983377_comp_biasing', '0:00:34', 'PASSED']
['./ccr01695171_NXP_output_raw_file', '0:00:06', 'PASSED']
['./t2b_c_comp_specified_dc', '0:00:34', 'PASSED']
['./ccr01959017_inputdelay', '0:02:07', 'PASSED']
['./ccr01740793_io_open_drain', '0:08:07', 'PASSED']
['./t2b_example_spectre', '0:00:32', 'PASSED']
['./ccr01403544_outputdiff_with_spectre', '0:01:22', 'PASSED']
['./speedup_C_comp_extraction_spectre', '0:00:32', 'PASSED']
/data/Automation/main/tests/unit_tests/pwt
['./parser/from_netlist/1924567_DoubleQuotationInProperty', '0:00:01', 'PASSED']
['./parser/from_netlist/nokia_CCR01714946', '0:00:03', 'PASSED']
['./parser/from_netlist/nokia_1787803', '0:00:03', 'PASSED']
['./parser/from_packaged/1947421_DoubleQuotationInProperty', '0:00:04', 'PASSED']
/data/Automation/main/tests/unit_tests/bbs
['./PSD_LNA_gate_Ind_source_degen_Lcm_8', '0:00:03', 'PASSED']
['./PC2-6400_SODIMM_x16_1_die_PSI_031709_183757', '0:18:35', 'PASSED']
['./lineNocausalEnforcement', '0:00:03', 'PASSED']
['./ForBBS.8.1.9TEST_grid-spara-vccpq', '0:31:27', 'PASSED']
['./rtxd_24_amp2_FromLO_ADS1', '0:00:11', 'PASSED']
['./ind_1p0_1p7_network3_deem', '0:00:02', 'PASSED']
['./app1_drv', '0:01:53', 'PASSED']
/data/Automation/main/tests/unit_tests/spdsim
/data/Automation/main/tests/unit_tests/fdtd
['./three_traces', '0:02:50', 'PASSED']
['./dipole_antenna', '0:00:20', 'PASSED']
['./patch_antenna_waveport', '0:01:01', 'PASSED']
['./square_loop', '0:00:21', 'PASSED']
['./fem_fdtd_dipole', '0:28:33', 'PASSED']
['./microstrip_trace', '0:06:18', 'PASSED']
['./lowpass_filter', '0:02:20', 'PASSED']
['./wave_guide', '0:05:32', 'PASSED']
/data/Automation/main/tests/unit_tests/thermal/CFD
['./Static_NC_pcb_pkg_merge', '0:01:01', 'PASSED']
['./NegativeHTC', '0:00:36', 'PASSED']
['./LocalRefTemperature', '0:00:26', 'PASSED']
['./Static_NC_demo', '0:00:39', 'PASSED']
['./3d_component_paraview', '0:00:19', 'PASSED']
['./3dComp_Static', '0:00:23', 'PASSED']
/data/Automation/main/tests/unit_tests/thermal/MCAD
['./solid_extraction', '0:01:14', 'PASSED']
['./beam_deflection', '0:00:26', 'PASSED']
['./CelsiusFEMETcoSim', '0:02:37', 'PASSED']
['./two_blocks_atlas', '0:00:43', 'PASSED']
['./CelsiusEngineCase', '0:00:08', 'PASSED']
['./viscoBar', '0:00:54', 'PASSED']
['./transient_thermal_atlas', '0:01:41', 'PASSED']
['./from_allegro_sepic', '0:03:42', 'PASSED']
['./CelsiusFEMCase_Bi_Beam', '0:00:09', 'PASSED']
['./static_electrical', '0:00:30', 'PASSED']
['./2R_HTC', '0:02:23', 'PASSED']
['./wire_resistance_etw', '0:03:30', 'PASSED']
['./CreateTransientPower/create_pulse', '0:05:03', 'PASSED']
['./CreateTransientPower/create_pwl', '0:05:43', 'PASSED']
['./CreateTransientPower/create_transient_PowerMap', '0:00:27', 'PASSED']
['./two_temperature_source', '0:00:35', 'PASSED']
['./plane_strain_dis_bc', '0:01:42', 'PASSED']
['./CelsiusFEMCase_2R', '0:00:04', 'PASSED']
['./VTM_2D_3D', '0:09:25', 'PASSED']
['./transient_et_co-sim', '0:09:36', 'PASSED']
['./3d_2dpwrmap_volume', '0:00:26', 'PASSED']
['./CelsiusFEMCase_plane_stress_symBC', '0:00:08', 'PASSED']
['./transient_thermal', '0:01:22', 'PASSED']
['./3dComp_2R_static', '0:00:06', 'PASSED']
['./static_thermal', '0:00:17', 'PASSED']
['./terminal_lumped', '0:00:19', 'PASSED']
['./CelsiusFEMtwo_blocks', '0:00:03', 'PASSED']
['./impt_expt_powerMap', '0:00:41', 'PASSED']
['./volume_temperature', '0:00:08', 'PASSED']
['./plane_stress_stress_bc', '0:00:22', 'PASSED']
/data/Automation/main/tests/unit_tests/Optimality
['./optimality_antenna_Far_Field_test', '0:06:07', 'PASSED']
['./ai_simulation_3dlayout_one_trace_smaller', '0:08:52', 'PASSED']
['./optimality_customer_function_workbench', '0:13:22', 'PASSED']
['./ai_optimality_test_fake_case_from_suomin', '0:11:08', 'PASSED']
['./ai_simulation_hsso_usb_drillSize', '0:09:52', 'PASSED']
