/data/Automation/main/tests/unit_tests/3dworkbench
['./gds/CCMPR02575067_ICT_temp_25deg', '0:02:31', 'PASSED']
['./odb/negative_plane_layer_eci', '0:00:00', 'PASSED']
['./odb/CCMPR01480622', '0:00:18', 'PASSED']
['./odb/spdif_all_odb', '0:00:04', 'PASSED']
['./pads/TCC8002_TEM_CELL_V1_4_3', '0:01:12', 'PASSED']
['./cadvance/yvs-90-00031_bug8776', '0:00:09', 'PASSED']
['./brd/demo_ver_15p5p1', '0:00:03', 'PASSED']
['./brd/FC_BGA_bothdefine_mcm_bydesign', '0:00:07', 'PASSED']
['./brd/2607790_diestack', '0:00:02', 'PASSED']
['./brd/trans_part_nets', '0:00:02', 'PASSED']
['./brd/Surface_Finishes', '0:00:31', 'PASSED']
['./dsn/test', '0:00:02', 'PASSED']
['./cr5k/1038310460_v04', '0:00:42', 'PASSED']
['./ipc2581/nf2017ISR7_IPC2581_default_options', '0:00:44', 'PASSED']
['./dxf/F1', '0:00:39', 'PASSED']
['./dxf/2749506_case5', '0:00:02', 'PASSED']
['./clf/Multi_Fabric_CLF_with_nets', '0:00:05', 'PASSED']
/data/Automation/main/tests/unit_tests/s2k
['./ESD_chip_modeltest', '0:00:11', 'PASSED']
['./Taper_3_multi', '0:00:19', 'PASSED']
['./Back_drill_from_top_bottom_L3', '0:00:18', 'PASSED']
['./trace_teardrop_for_circle_pad_with_via', '0:00:08', 'PASSED']
['./c1_5510', '0:01:23', 'PASSED']
['./Back_drill_from_top_bottom_L1', '0:00:00', 'PASSED']
['./AE_CCMPR02064668_wrong_se_imp', '0:04:22', 'PASSED']
['./7_Diff_2100_L2_Y_M', '0:02:22', 'PASSED']
['./10_twopassive_1_20_EN_Z', '0:16:53', 'PASSED']
['./tabbed_trace_CCR01638497', '0:00:19', 'PASSED']
['./TDR_01075921', '0:00:18', 'PASSED']
/data/Automation/main/tests/unit_tests/t2b
['./ccr01740793_io_open_drain', '0:05:23', 'PASSED']
['./01983377_comp_biasing', '0:00:21', 'PASSED']
['./speedup_C_comp_extraction_spectre', '0:00:22', 'PASSED']
['./ccr01959017_inputdelay', '0:01:22', 'PASSED']
['./t2b_c_comp_specified_dc', '0:00:18', 'PASSED']
